Spring Quarter Feedback - PolyPages
Timestamp,The project you are giving feedback on...,Aesthetics (overall look),UX (user experience),Functionality,Responsiveness,Overall Impression,x1 thing you liked,x1 thing you would change,Any Questions or Concerns,
4/16/2026 18:27:11,Poly Pages (Formerly Note Sharer),4,4,4,5,4,,,Couple small CSS bugs,
4/16/2026 18:29:51,Poly Pages (Formerly Note Sharer),4,4,3,5,4,,,,
4/16/2026 18:30:16,Poly Pages (Formerly Note Sharer),5,5,5,5,5,dark and light mode,add prof textbox,,
4/16/2026 18:30:21,Poly Pages (Formerly Note Sharer),5,4,4,4,4,the ui looks clean,easier to navigate ,nah,
4/16/2026 18:30:34,Poly Pages (Formerly Note Sharer),5,4,4,4,4,"Really clean design, easy for user to understand",Search by teacher added,,
4/16/2026 18:31:26,Poly Pages (Formerly Note Sharer),3,4,4,4,4,I liked the idea of having random names and also the idea of needing to submit your own PDFs to unlock things.,"I would definitely add something regarding teachers or incentive to upload “more important” items, etc. ",Can the user get in trouble from Cal Poly for like weird stuff uploaded etc?,
4/17/2026 8:08:31,Poly Pages (Formerly Note Sharer),2,3,4,4,3,Functionality seems great,"UI doesn’t look awesome. It looks like pretty much any vibe coded site, not unique ",,
,,,,,,,,,,
Statistics:,,,,,,,,,,
Categories,Average,High,Low,,,,,,,
Aesthetics (overall look),4,5,2,,,,,,,
UX (user experience),4,5,3,,,,,,,
Functionality,4,5,3,,,,,,,
Responsiveness,4.42857142857143,5,4,,,,,,,
Overall Impression,4,5,3,,,,,,,
